"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-6-21","5,464.62","5,466.77","5,478.31","5,452.03","","-0.16%"
"2024-6-20","5,473.17","5,499.99","5,505.53","5,455.56","","-0.25%"
"2024-6-18","5,487.03","5,476.15","5,490.38","5,471.32","","0.25%"
"2024-6-17","5,473.23","5,431.11","5,488.50","5,420.40","","0.77%"
"2024-6-14","5,431.60","5,424.08","5,432.39","5,403.75","","-0.04%"
"2024-6-13","5,433.74","5,441.93","5,441.93","5,402.51","","0.23%"
"2024-6-12","5,421.03","5,409.13","5,447.25","5,409.13","","0.85%"
"2024-6-11","5,375.32","5,353.00","5,375.95","5,327.25","","0.27%"
"2024-6-10","5,360.79","5,341.22","5,365.79","5,331.52","","0.26%"
"2024-6-7","5,346.99","5,343.81","5,375.08","5,331.33","","-0.11%"
"2024-6-6","5,352.96","5,357.80","5,362.35","5,335.36","","-0.02%"
"2024-6-5","5,354.03","5,314.48","5,354.16","5,297.64","","1.18%"
"2024-6-4","5,291.34","5,278.24","5,298.80","5,257.63","","0.15%"
"2024-6-3","5,283.40","5,297.15","5,302.11","5,234.32","","0.11%"
"2024-5-31","5,277.51","5,243.21","5,280.33","5,191.68","","0.80%"
"2024-5-30","5,235.48","5,259.77","5,260.21","5,222.10","","-0.60%"
"2024-5-29","5,266.95","5,278.73","5,282.27","5,262.70","","-0.74%"
"2024-5-28","5,306.04","5,315.91","5,315.91","5,280.89","","0.02%"
"2024-5-24","5,304.72","5,281.45","5,311.65","5,278.39","","0.70%"
"2024-5-23","5,267.84","5,340.26","5,341.88","5,256.93","","-0.74%"
"2024-5-22","5,307.01","5,319.28","5,323.18","5,286.01","","-0.27%"
"2024-5-21","5,321.41","5,298.69","5,324.32","5,297.87","","0.25%"
"2024-5-20","5,308.13","5,305.35","5,325.32","5,302.40","","0.09%"
"2024-5-17","5,303.27","5,303.10","5,305.45","5,283.59","","0.12%"
"2024-5-16","5,297.10","5,310.07","5,325.49","5,296.19","","-0.21%"
"2024-5-15","5,308.15","5,263.26","5,311.76","5,263.26","","1.17%"
"2024-5-14","5,246.68","5,221.10","5,250.37","5,217.98","","0.48%"
"2024-5-13","5,221.42","5,233.08","5,237.26","5,211.16","","-0.02%"
"2024-5-10","5,222.68","5,225.49","5,239.66","5,209.68","","0.16%"
"2024-5-9","5,214.08","5,189.03","5,215.30","5,180.41","","0.51%"
"2024-5-8","5,187.67","5,168.98","5,191.95","5,165.86","","0.00%"
"2024-5-7","5,187.70","5,187.20","5,200.23","5,178.96","","0.13%"
"2024-5-6","5,180.74","5,142.42","5,181.00","5,142.42","","1.03%"
"2024-5-3","5,127.79","5,122.78","5,139.12","5,101.22","","1.26%"
"2024-5-2","5,064.20","5,049.32","5,073.21","5,011.05","","0.91%"
"2024-5-1","5,018.39","5,029.03","5,096.12","5,013.45","","-0.34%"
"2024-4-30","5,035.69","5,103.78","5,110.83","5,035.31","","-1.57%"
"2024-4-29","5,116.17","5,114.13","5,123.49","5,088.65","","0.32%"
"2024-4-26","5,099.96","5,084.65","5,114.62","5,073.14","","1.02%"
"2024-4-25","5,048.42","5,019.88","5,057.75","4,990.58","","-0.46%"
"2024-4-24","5,071.63","5,084.86","5,089.48","5,047.02","","0.02%"
"2024-4-23","5,070.55","5,028.85","5,076.12","5,027.96","","1.20%"
"2024-4-22","5,010.60","4,987.33","5,038.84","4,969.40","","0.87%"
"2024-4-19","4,967.23","5,005.44","5,019.02","4,953.56","","-0.88%"
"2024-4-18","5,011.12","5,031.52","5,056.66","5,001.89","","-0.22%"
"2024-4-17","5,022.21","5,068.97","5,077.96","5,007.25","","-0.58%"
"2024-4-16","5,051.41","5,064.59","5,079.84","5,039.83","","-0.21%"
"2024-4-15","5,061.82","5,149.67","5,168.43","5,052.47","","-1.20%"
"2024-4-12","5,123.41","5,171.51","5,175.03","5,107.94","","-1.46%"
"2024-4-11","5,199.06","5,172.95","5,211.78","5,138.77","","0.74%"
"2024-4-10","5,160.64","5,167.88","5,178.43","5,138.70","","-0.95%"
"2024-4-9","5,209.91","5,217.03","5,224.81","5,160.78","","0.14%"
"2024-4-8","5,202.39","5,211.37","5,219.57","5,197.35","","-0.04%"
"2024-4-5","5,204.34","5,158.95","5,222.18","5,157.21","","1.11%"
"2024-4-4","5,147.21","5,244.05","5,256.59","5,146.06","","-1.23%"
"2024-4-3","5,211.49","5,194.37","5,228.75","5,194.37","","0.11%"
"2024-4-2","5,205.81","5,204.29","5,208.34","5,184.05","","-0.72%"
"2024-4-1","5,243.77","5,257.97","5,263.95","5,229.20","","-0.20%"
"2024-3-28","5,254.35","5,248.03","5,264.85","5,245.82","","0.11%"
"2024-3-27","5,248.49","5,226.31","5,249.26","5,213.92","","0.86%"
"2024-3-26","5,203.58","5,228.85","5,235.16","5,203.42","","-0.28%"
"2024-3-25","5,218.19","5,219.52","5,229.09","5,216.09","","-0.31%"
"2024-3-22","5,234.18","5,242.48","5,246.09","5,229.87","","-0.14%"
"2024-3-21","5,241.53","5,253.43","5,261.10","5,240.66","","0.32%"
"2024-3-20","5,224.62","5,181.69","5,226.19","5,171.55","","0.89%"
"2024-3-19","5,178.51","5,139.09","5,180.31","5,131.59","","0.56%"
"2024-3-18","5,149.42","5,154.77","5,175.60","5,145.47","","0.63%"
"2024-3-15","5,117.09","5,123.31","5,136.86","5,104.35","","-0.65%"
"2024-3-14","5,150.48","5,175.14","5,176.85","5,123.30","","-0.29%"
"2024-3-13","5,165.31","5,173.49","5,179.14","5,151.88","","-0.19%"
"2024-3-12","5,175.27","5,134.30","5,179.87","5,114.48","","1.12%"
"2024-3-11","5,117.94","5,111.96","5,124.66","5,091.14","","-0.11%"
"2024-3-8","5,123.69","5,164.46","5,189.26","5,117.50","","-0.65%"
"2024-3-7","5,157.36","5,132.38","5,165.62","5,128.21","","1.03%"
"2024-3-6","5,104.76","5,108.03","5,127.97","5,092.22","","0.51%"
